date	year	doy	lat	Tmax	Tmin	red	nir
20250501	2025	121	37.365888	38	21.2	0.03	0.36
20250502	2025	122	37.365888	38.1	21.3	0.03	0.36
20250503	2025	123	37.365888	38.2	21.4	0.03	0.36
20250504	2025	124	37.365888	38.3	21.5	0.03	0.36
20250505	2025	125	37.365888	38.4	21.6	0.03	0.36
20250506	2025	126	37.365888	38.5	21.7	0.03	0.36
20250507	2025	127	37.365888	38.6	21.8	0.03	0.36
20250508	2025	128	37.365888	38.7	21.9	0.03	0.36
20250509	2025	129	37.365888	38.8	22	0.03	0.36
20250510	2025	130	37.365888	38.9	22.1	0.03	0.36
20250511	2025	131	37.365888	39	22.2	0.03	0.36
20250512	2025	132	37.365888	39.1	22.3	0.03	0.36
20250513	2025	133	37.365888	39.2	22.4	0.03	0.36
20250514	2025	134	37.365888	39.3	22.5	0.03	0.36
20250515	2025	135	37.365888	39.4	22.6	0.03	0.36
20250516	2025	136	37.365888	39.5	22.7	0.03	0.36
20250517	2025	137	37.365888	39.6	22.8	0.03	0.36
20250518	2025	138	37.365888	39.7	22.9	0.03	0.36
20250519	2025	139	37.365888	39.8	23	0.03	0.36
20250520	2025	140	37.365888	39.9	23.1	0.03	0.36
20250521	2025	141	37.365888	40	23.2	0.03	0.36
20250522	2025	142	37.365888	40.1	23.3	0.03	0.36
20250523	2025	143	37.365888	40.2	23.4	0.03	0.36
20250524	2025	144	37.365888	40.3	23.5	0.03	0.36
20250525	2025	145	37.365888	40.4	23.6	0.03	0.36
20250526	2025	146	37.365888	40.5	23.7	0.03	0.36
20250527	2025	147	37.365888	40.6	23.8	0.03	0.36
20250528	2025	148	37.365888	40.7	23.9	0.03	0.36
20250529	2025	149	37.365888	40.8	24	0.03	0.36
20250530	2025	150	37.365888	40.9	24.1	0.03	0.36
20250531	2025	151	37.365888	41	24.2	0.03	0.36
