date	year	doy	lat	Tmax	Tmin	red	nir	elevation	ndvi
20250101	2025	1	37.365888	10.5	3.8	0.25	0.464285714	65	0.3
20250102	2025	2	37.365888	14.6	6.5	0.25	0.466332378	65	0.302
20250103	2025	3	37.365888	15.4	6.4	0.25	0.468390805	65	0.304
20250104	2025	4	37.365888	14.1	3.7	0.25	0.470461095	65	0.306
20250105	2025	5	37.365888	15.5	4.4	0.25	0.472543353	65	0.308
20250106	2025	6	37.365888	15.5	5	0.245	0.465144928	65	0.31
20250107	2025	7	37.365888	17.5	10.3	0.24	0.457674419	65	0.312
20250108	2025	8	37.365888	17	4.9	0.235	0.450131195	65	0.314
20250109	2025	9	37.365888	21.1	3.1	0.23	0.44251462	65	0.316
20250110	2025	10	37.365888	16.2	3.6	0.225	0.434824047	65	0.318
20250111	2025	11	37.365888	17.4	8.7	0.22	0.427058824	65	0.32
20250112	2025	12	37.365888	16.8	9.1	0.215	0.419218289	65	0.322
20250113	2025	13	37.365888	15.6	5.9	0.21	0.411301775	65	0.324
20250114	2025	14	37.365888	16.2	0.5	0.205	0.403308605	65	0.326
20250115	2025	15	37.365888	17.1	0.1	0.2	0.395238095	65	0.328
20250116	2025	16	37.365888	17.5	1	0.2	0.397014925	65	0.33
20250117	2025	17	37.365888	15.5	0.3	0.2	0.398802395	65	0.332
20250118	2025	18	37.365888	17	-0.6	0.2	0.400600601	65	0.334
20250119	2025	19	37.365888	14.6	0.1	0.2	0.402409639	65	0.336
20250120	2025	20	37.365888	16.7	3.8	0.2	0.404229607	65	0.338
20250121	2025	21	37.365888	14.4	-1.4	0.2	0.406060606	65	0.34
20250122	2025	22	37.365888	15.7	-1.4	0.2	0.407902736	65	0.342
20250123	2025	23	37.365888	19.3	-1.1	0.2	0.409756098	65	0.344
20250124	2025	24	37.365888	16.8	1.3	0.2	0.411620795	65	0.346
20250125	2025	25	37.365888	13.3	3	0.2	0.413496933	65	0.348
20250126	2025	26	37.365888	14.1	5.4	0.2	0.415384615	65	0.35
20250127	2025	27	37.365888	17.8	4.3	0.2	0.417283951	65	0.352
20250128	2025	28	37.365888	16.1	-1.6	0.2	0.419195046	65	0.354
20250129	2025	29	37.365888	13.5	-0.7	0.2	0.421118012	65	0.356
20250130	2025	30	37.365888	13.4	-1.2	0.2	0.42305296	65	0.358
20250131	2025	31	37.365888	9.6	4.5	0.2	0.425	65	0.36
20250201	2025	32	37.365888	13	8.9	0.2	0.426959248	65	0.362
20250202	2025	33	37.365888	15.1	12.2	0.2	0.428930818	65	0.364
20250203	2025	34	37.365888	15.9	11.2	0.2	0.430914826	65	0.366
20250204	2025	35	37.365888	15.4	6.3	0.2	0.432911392	65	0.368
20250205	2025	36	37.365888	13.5	1.8	0.2	0.434920635	65	0.37
20250206	2025	37	37.365888	13.2	2.5	0.2	0.436942675	65	0.372
20250207	2025	38	37.365888	15.2	6.3	0.2	0.438977636	65	0.374
20250208	2025	39	37.365888	13.4	3.7	0.2	0.441025641	65	0.376
20250209	2025	40	37.365888	13	4	0.2	0.443086817	65	0.378
20250210	2025	41	37.365888	13.5	2.2	0.2	0.44516129	65	0.38
20250211	2025	42	37.365888	10.9	-0.7	0.2	0.447249191	65	0.382
20250212	2025	43	37.365888	11	0.8	0.2	0.449350649	65	0.384
20250213	2025	44	37.365888	14.8	7.5	0.2	0.451465798	65	0.386
20250214	2025	45	37.365888	16.3	5.6	0.2	0.453594771	65	0.388
20250215	2025	46	37.365888	15.1	3.6	0.2	0.455737705	65	0.39
20250216	2025	47	37.365888	15.1	6.1	0.2	0.457894737	65	0.392
20250217	2025	48	37.365888	16.5	4.3	0.2	0.460066007	65	0.394
20250218	2025	49	37.365888	17.8	3.8	0.2	0.462251656	65	0.396
20250219	2025	50	37.365888	17.4	8.5	0.2	0.464451827	65	0.398
20250220	2025	51	37.365888	19.2	9	0.2	0.466666667	65	0.4
20250221	2025	52	37.365888	20	5.2	0.2	0.468896321	65	0.402
20250222	2025	53	37.365888	20.5	4.9	0.2	0.47114094	65	0.404
20250223	2025	54	37.365888	19.2	10.5	0.2	0.473400673	65	0.406
20250224	2025	55	37.365888	19.3	8.3	0.2	0.475675676	65	0.408
20250225	2025	56	37.365888	20.1	5.2	0.2	0.477966102	65	0.41
20250226	2025	57	37.365888	22.1	3.3	0.2	0.480272109	65	0.412
20250227	2025	58	37.365888	21.8	5.9	0.2	0.482593857	65	0.414
20250228	2025	59	37.365888	23.6	5.7	0.2	0.484931507	65	0.416
20250301	2025	60	37.365888	21.7	5	0.2	0.487285223	65	0.418
20250302	2025	61	37.365888	16.7	5.8	0.2	0.489655172	65	0.42
20250303	2025	62	37.365888	17.4	2.5	0.2	0.492041522	65	0.422
20250304	2025	63	37.365888	16.2	7.7	0.2	0.494444444	65	0.424
20250305	2025	64	37.365888	15.6	6.7	0.2	0.496864111	65	0.426
20250306	2025	65	37.365888	14.1	3.7	0.2	0.499300699	65	0.428
20250307	2025	66	37.365888	19.1	3.5	0.2	0.501754386	65	0.43
20250308	2025	67	37.365888	19	2.2	0.2	0.504225352	65	0.432
20250309	2025	68	37.365888	19.6	2.3	0.2	0.506713781	65	0.434
20250310	2025	69	37.365888	21.2	5.2	0.2	0.509219858	65	0.436
20250311	2025	70	37.365888	19.8	4.6	0.2	0.511743772	65	0.438
20250312	2025	71	37.365888	13.8	7.1	0.2	0.514285714	65	0.44
20250313	2025	72	37.365888	14.9	5.2	0.2	0.516845878	65	0.442
20250314	2025	73	37.365888	14.2	5	0.2	0.51942446	65	0.444
20250315	2025	74	37.365888	15.8	6.2	0.2	0.522021661	65	0.446
20250316	2025	75	37.365888	16.6	6.6	0.2	0.524637681	65	0.448
20250317	2025	76	37.365888	14.9	5.4	0.2	0.527272727	65	0.45
20250318	2025	77	37.365888	16	2.9	0.2	0.529927007	65	0.452
20250319	2025	78	37.365888	15.9	2.6	0.2	0.532600733	65	0.454
20250320	2025	79	37.365888	17.7	3.6	0.2	0.535294118	65	0.456
20250321	2025	80	37.365888	17.9	6.3	0.2	0.53800738	65	0.458
20250322	2025	81	37.365888	19.2	7.3	0.2	0.540740741	65	0.46
20250323	2025	82	37.365888	25.1	6.9	0.2	0.543494424	65	0.462
20250324	2025	83	37.365888	27.4	8.7	0.2	0.546268657	65	0.464
20250325	2025	84	37.365888	29.2	11.2	0.2	0.54906367	65	0.466
20250326	2025	85	37.365888	18.8	11.6	0.2	0.551879699	65	0.468
20250327	2025	86	37.365888	17.6	11.2	0.2	0.554716981	65	0.47
20250328	2025	87	37.365888	17.5	7.6	0.2	0.557575758	65	0.472
20250329	2025	88	37.365888	17.7	4.2	0.2	0.560456274	65	0.474
20250330	2025	89	37.365888	18.7	9.2	0.2	0.563358779	65	0.476
20250331	2025	90	37.365888	17.6	8.3	0.2	0.566283525	65	0.478
20250401	2025	91	37.365888	15	7.4	0.2	0.569230769	65	0.48
20250402	2025	92	37.365888	18	2.6	0.2	0.572200772	65	0.482
20250403	2025	93	37.365888	19.7	2.6	0.2	0.575193798	65	0.484
20250404	2025	94	37.365888	22.5	6.3	0.2	0.578210117	65	0.486
20250405	2025	95	37.365888	25	9	0.2	0.58125	65	0.488
20250406	2025	96	37.365888	23.6	6.4	0.2	0.584313725	65	0.49
20250407	2025	97	37.365888	21.7	11.1	0.2	0.587401575	65	0.492
20250408	2025	98	37.365888	24	7.9	0.2	0.590513834	65	0.494
20250409	2025	99	37.365888	28.4	8.4	0.2	0.593650794	65	0.496
20250410	2025	100	37.365888	26.2	8.8	0.2	0.596812749	65	0.498
20250411	2025	101	37.365888	26.4	11.1	0.2	0.6	65	0.5
20250412	2025	102	37.365888	24.3	7.4	0.2	0.603212851	65	0.502
20250413	2025	103	37.365888	28.4	9.5	0.2	0.606451613	65	0.504
20250414	2025	104	37.365888	30.4	9.4	0.2	0.609716599	65	0.506
20250415	2025	105	37.365888	24.4	9.2	0.2	0.61300813	65	0.508
20250416	2025	106	37.365888	21.8	9.6	0.2	0.616326531	65	0.51
20250417	2025	107	37.365888	20.2	10.2	0.2	0.619672131	65	0.512
20250418	2025	108	37.365888	26.1	7.5	0.2	0.623045267	65	0.514
20250419	2025	109	37.365888	23.7	5	0.2	0.626446281	65	0.516
20250420	2025	110	37.365888	26.6	5.7	0.2	0.629875519	65	0.518
20250421	2025	111	37.365888	28.8	7.3	0.2	0.633333333	65	0.52
20250422	2025	112	37.365888	27.2	9	0.2	0.636820084	65	0.522
20250423	2025	113	37.365888	21.2	8.7	0.2	0.640336134	65	0.524
20250424	2025	114	37.365888	18.4	7.8	0.2	0.643881857	65	0.526
20250425	2025	115	37.365888	16.5	8.5	0.2	0.647457627	65	0.528
20250426	2025	116	37.365888	15.1	8.7	0.2	0.65106383	65	0.53
20250427	2025	117	37.365888	16.6	8.7	0.2	0.654700855	65	0.532
20250428	2025	118	37.365888	25.6	7.1	0.2	0.658369099	65	0.534
20250429	2025	119	37.365888	28.6	8	0.2	0.662068966	65	0.536
20250430	2025	120	37.365888	31.1	10.1	0.2	0.665800866	65	0.538
20250501	2025	121	37.365888	29	9.7	0.2	0.669565217	65	0.54
20250502	2025	122	37.365888	26.7	9	0.2	0.673362445	65	0.542
20250503	2025	123	37.365888	23.3	10.2	0.2	0.677192982	65	0.544
20250504	2025	124	37.365888	26.6	10.2	0.2	0.681057269	65	0.546
20250505	2025	125	37.365888	29.5	15.4	0.2	0.684955752	65	0.548
20250506	2025	126	37.365888	30.1	13.3	0.2	0.688888889	65	0.55
20250507	2025	127	37.365888	24	8.8	0.2	0.692857143	65	0.552
20250508	2025	128	37.365888	31.1	8.5	0.2	0.696860987	65	0.554
20250509	2025	129	37.365888	32.8	10.3	0.2	0.700900901	65	0.556
